State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	0.47423	65.68522	9.42098	1.82079	2.61982	70.93357	24.62756
2	1.66778	3.45053	1.35967	1.33463	1.54369	3.85087	6.38355
3	0.91250	0.76085	2.71108	2.16978	3.24880	1.59338	3.07833
4	0.54371	0.86630	3.58774	2.27199	3.59265	1.17170	3.21563
5	0.99302	7.30821	1.82289	1.40690	1.58478	6.33248	7.72104
6	2.79658	0.32625	0.82431	1.14326	1.12422	0.83054	1.67860
7	1.06082	14.81164	2.77271	1.14410	1.82183	8.60574	6.36970
8	18.37534	0.87961	1.02722	1.02333	1.03898	0.95564	1.21220
9	53.24257	0.17001	0.32840	0.64831	0.42703	0.24881	0.35391
10	5.10442	0.75274	0.54170	0.81127	0.67205	0.40368	0.57934
11	0.74314	1.64291	0.75034	0.87196	0.65480	1.04183	1.25408
12	1.01986	0.54798	1.91043	2.13718	1.41787	0.35865	0.37796
13	5.91149	0.32579	1.85159	1.96569	2.09526	0.40425	0.64298
14	5.68006	0.84004	4.43207	2.24222	3.72208	0.51088	0.62335
15	1.47447	0.34814	2.73432	2.19802	2.64253	0.54783	0.85782
Base	100	0.7078696829	2.4558107462	41.8279499737	0.0009347908	0.0010583822	3.4277347938
