State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	0.23345	3.49815	0.81658	0.43695	1.03484	1.73660	1.62677
2	18.31074	0.27189	0.44416	0.83135	0.61160	0.29847	0.48954
3	2.76239	0.84607	0.72748	0.94159	0.77083	0.40496	0.62271
4	28.15934	0.13647	0.21642	0.49441	0.29414	0.19906	0.23012
5	23.34428	0.30796	0.70199	0.95904	0.84444	0.48312	0.70556
6	6.71115	2.00109	1.42422	1.07445	1.15035	1.70911	2.01643
7	0.45451	26.99813	4.17499	1.23476	2.01976	13.86218	10.36738
8	0.80726	4.06953	1.65261	1.44300	1.62454	3.30390	8.21222
9	1.08120	3.01545	1.49442	1.43288	1.75876	3.66779	6.51129
10	0.68634	0.11676	0.90458	1.36046	1.38782	0.63953	1.29476
11	2.85638	0.30049	0.87427	1.15336	1.08015	0.82489	1.73837
12	0.36437	0.17565	0.62108	1.32623	0.60618	0.53539	0.96853
13	0.73942	0.52313	2.22994	2.16731	1.48889	0.42872	0.41918
14	6.02862	0.35584	2.26987	2.10706	2.68597	0.37466	0.58643
15	4.30730	0.97533	4.95495	2.25518	3.68726	0.57816	0.66259
16	1.21861	0.34030	2.94606	2.22176	2.70457	0.60782	0.93338
17	0.53382	0.50930	2.99293	2.21759	3.36828	1.51317	2.57129
18	0.41823	1.08750	4.08357	2.27377	4.43939	1.69812	4.16121
19	0.44017	20.89209	2.85062	1.60033	1.79547	25.02662	9.02908
20	0.54243	56.25935	8.49772	1.84532	2.59584	56.03110	23.85607
Base	100	0.7078685418	2.4558029820	41.8278177324	0.0009347878	0.0010583788	3.4277239568
