State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	0.62652	53.30610	7.95738	1.80442	2.66058	55.72600	23.24141
2	1.93324	1.53220	1.65974	1.59115	1.96545	2.40919	4.43788
3	1.33252	14.90508	2.78309	1.51827	1.68345	10.09470	9.55930
4	3.34418	0.68300	0.96742	1.24448	1.24973	1.20314	1.82687
5	1.33889	0.46982	3.46344	2.23127	3.34317	0.92886	1.49086
6	7.19930	0.73593	4.05414	2.22609	3.44571	0.49791	0.61898
7	15.85084	0.39574	0.89136	1.20513	1.14328	0.39691	0.67569
8	2.25087	0.94945	1.20763	1.23948	1.01808	0.46178	0.63905
9	49.22527	0.16771	0.32330	0.63830	0.41750	0.24602	0.33005
10	16.89837	1.11860	1.08156	1.02270	1.05709	1.10573	1.37079
Base	100	0.7078685418	2.4558029820	41.8278177324	0.0009347878	0.0010583788	3.4277239568
