State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	1.15592	1.18729	0.75955	1.07338	0.86882	2.15705	1.89944
2	1.40910	27.07062	4.45635	1.58229	2.11853	28.30507	16.42057
3	1.97195	1.12362	2.71841	2.21617	3.13095	1.71887	3.52840
4	1.97850	0.41997	2.76874	2.19918	2.78045	0.60239	0.88986
5	8.30319	0.65794	3.66669	2.19033	3.24697	0.45815	0.58239
6	1.32090	0.49939	1.69854	2.13932	1.36122	0.32307	0.37051
7	5.86111	0.63464	0.48179	0.83873	0.63475	0.36716	0.48712
8	31.25430	0.11043	0.17855	0.47271	0.25441	0.18686	0.20572
9	1.37541	2.12799	0.82975	0.76246	0.82050	0.89311	1.16971
10	25.18893	0.24612	0.66560	0.98827	0.80260	0.37114	0.58752
11	14.84153	0.90862	1.07691	1.04395	1.08476	1.01026	1.27918
12	1.30895	13.90328	2.69738	1.15186	1.87724	8.37162	6.33481
13	2.78553	0.68148	0.94283	1.10253	1.13984	1.12163	2.23443
14	0.82758	0.40820	0.54526	1.09288	0.55463	0.71822	1.15429
15	0.41710	2.62636	0.98953	0.44683	0.88532	1.36656	1.13542
Base	100	0.7078700817	2.4558345144	41.8283547994	0.0009347998	0.0010583924	3.4277679686
