State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	18.29014	0.97683	1.04884	1.02498	1.05175	1.00892	1.26795
2	55.94673	0.17938	0.39025	0.70675	0.49947	0.25694	0.37149
3	5.65988	0.69565	0.52231	0.88917	0.68048	0.37698	0.54604
4	1.47345	0.86557	1.46605	1.52441	1.13129	0.56476	0.65859
5	8.67448	0.66253	3.67206	2.19933	3.25838	0.47262	0.59911
6	1.83462	0.49012	3.16271	2.22363	3.07562	0.71442	1.42076
7	3.59231	0.65378	0.95489	1.15948	1.20664	1.04198	1.78926
8	1.36266	14.81459	2.61394	1.37379	1.60570	9.77748	8.96108
9	2.38790	0.89831	1.61501	1.64809	2.02625	1.87644	3.33458
10	0.77782	45.71494	6.89428	1.67577	2.61334	47.88773	22.57583
Base	100	0.7078696829	2.4558107462	41.8279499737	0.0009347908	0.0010583822	3.4277347938
