State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	8.02829	0.66777	3.68508	2.19008	3.26745	0.45561	0.57288
2	0.26585	0.67361	3.05472	2.25846	2.98577	0.76820	1.07027
3	1.48600	0.43524	2.84635	2.18992	2.73118	0.56819	0.85577
4	0.57583	0.24766	2.39536	2.18691	2.61908	0.56640	0.80678
5	1.13338	1.22397	2.64995	2.19647	3.28554	2.19994	3.87916
6	0.58486	1.21719	3.35035	2.25065	3.41654	1.23517	4.62734
7	0.88957	8.61268	1.93118	1.23250	1.61001	7.29164	8.24943
8	1.28841	1.39863	0.87616	1.05663	1.03929	2.65916	2.53426
9	0.79095	41.86722	6.40123	1.74697	2.45217	44.02934	22.56975
10	0.52363	1.16907	1.38941	1.93562	1.36429	0.84989	1.15034
11	0.81782	0.42591	0.50734	1.01780	0.50639	0.79761	1.10538
12	2.48167	0.27403	0.88877	1.08628	1.13060	0.78608	1.55562
13	1.23405	13.41759	2.65435	1.14171	1.85973	8.02507	6.00766
14	14.59317	0.91657	1.08132	1.04527	1.08714	1.01722	1.27907
15	24.88235	0.24674	0.66640	0.98572	0.79807	0.37143	0.58983
16	1.40554	2.05562	0.81274	0.76004	0.81028	0.83710	1.11444
17	31.35528	0.11060	0.18136	0.47591	0.25667	0.18684	0.20718
18	5.98406	0.61749	0.47315	0.83864	0.63670	0.37184	0.48611
19	1.33055	0.52683	1.68473	2.13129	1.35654	0.32072	0.38456
20	0.34873	1.50863	0.67186	0.23498	0.63337	0.83037	0.61923
Base	100	0.7078700817	2.4558345144	41.8283547994	0.0009347998	0.0010583924	3.4277679686
