State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	0.54366	57.29421	8.56727	1.83630	2.54555	58.92678	24.07414
2	1.26529	2.65421	1.45096	1.43722	1.66653	3.33893	6.05482
3	0.59621	0.71214	2.84652	2.09172	3.16047	1.40593	2.38934
4	0.43383	1.08088	4.00710	2.27132	4.30367	1.63005	3.98871
5	0.84936	13.42693	2.55479	1.58472	1.88127	13.06303	11.08451
6	1.54015	0.17654	0.83576	1.22310	1.12935	0.82133	1.46713
7	3.37526	0.54812	0.86318	1.15495	1.15029	0.97623	1.79768
8	1.27361	0.32565	2.82988	2.21510	2.63656	0.58636	0.91256
9	6.31852	0.35005	2.19602	2.08420	2.60042	0.36133	0.57168
10	4.57737	0.95171	4.82743	2.25240	3.60315	0.57801	0.65149
11	1.29842	0.87285	1.53380	1.46934	1.20671	0.55637	0.65336
12	5.48966	0.60690	0.51021	0.86979	0.65506	0.38978	0.54149
13	55.09290	0.18216	0.35203	0.67048	0.46230	0.25462	0.36105
14	16.72883	0.96777	1.06048	1.02628	1.04449	1.03002	1.28718
15	0.61692	21.72151	3.56050	1.18760	1.86284	10.92919	8.67528
Base	100	0.7078685418	2.4558029820	41.8278177324	0.0009347878	0.0010583788	3.4277239568
