State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	2.01797	0.20448	0.77307	1.22597	1.06032	0.64951	1.60221
2	1.23769	0.39229	1.07808	1.01158	1.27429	1.20429	1.78701
3	0.56169	25.57373	3.94105	1.22403	2.12588	13.63181	10.00248
4	8.56395	1.52252	1.31614	1.08464	1.20774	1.43402	1.74009
5	22.58184	0.25627	0.66218	0.94616	0.78248	0.43181	0.64492
6	1.12283	1.93010	0.83341	0.77024	0.73459	0.83341	1.11945
7	30.98682	0.11980	0.21783	0.50262	0.29971	0.19910	0.22947
8	12.09680	0.28134	0.37880	0.80124	0.53207	0.29280	0.48858
9	2.38668	0.90371	0.70675	0.91717	0.82855	0.37548	0.57028
10	0.64746	1.61442	0.75693	0.92825	0.76755	1.07809	1.28214
11	0.93698	0.56176	2.00947	2.15996	1.44015	0.38712	0.40007
12	5.45954	0.34122	2.02461	2.02791	2.24911	0.40254	0.61953
13	5.35726	0.86504	4.52153	2.24616	3.77048	0.51833	0.62888
14	1.43248	0.36740	2.82712	2.20784	2.72963	0.56176	0.85510
15	0.52698	0.86968	3.68347	2.27166	3.66737	1.26673	3.40043
16	0.88114	0.69662	2.71620	2.20152	3.28216	1.57398	3.04921
17	1.54933	3.64876	1.40584	1.34341	1.55256	4.02723	6.69957
18	0.86262	3.52031	1.49307	1.37360	1.54830	3.14489	6.77648
19	0.32181	17.49692	2.47499	1.42591	1.72659	16.51895	7.60985
20	0.46812	65.12077	9.43451	1.83016	2.55083	70.07629	24.56183
Base	100	0.7078696829	2.4558107462	41.8279499737	0.0009347908	0.0010583822	3.4277347938
